原始要素ID,DIKUAI_ID,核心地块编号,几何类型,坐标系,面积（平方米）,最小经度,最大经度,最小纬度,最大纬度,完整GeoJSON坐标
2086,DIKUAI_2023_2199,2199,Polygon,EPSG:4326 (WGS84经纬度),729.06,118.767735,118.768819,32.043426,32.043521,"[[[118.768791, 32.043514], [118.768819, 32.043512], [118.768811, 32.043426], [118.768412, 32.043456], [118.767735, 32.043476], [118.767738, 32.043521], [118.768217, 32.043504], [118.768307, 32.043501], [118.768788, 32.043484], [118.768791, 32.043514]]]"
2087,DIKUAI_2023_2200,2200,Polygon,EPSG:4326 (WGS84经纬度),896.51,118.780048,118.781273,32.05198,32.052129,"[[[118.780093, 32.052129], [118.780519, 32.052095], [118.78062, 32.052074], [118.780926, 32.052047], [118.781235, 32.052024], [118.781273, 32.052021], [118.781268, 32.05198], [118.781231, 32.051981], [118.780921, 32.052005], [118.780871, 32.052012], [118.780564, 32.052034], [118.780513, 32.052029], [118.780164, 32.052057], [118.780166, 32.052074], [118.780086, 32.05208], [118.780084, 32.052069], [118.780065, 32.05207], [118.780048, 32.052087], [118.780049, 32.0521], [118.780093, 32.052129]]]"
2088,DIKUAI_2023_2201,2201,Polygon,EPSG:4326 (WGS84经纬度),2160.14,118.780011,118.780519,32.051625,32.052136,"[[[118.78004, 32.052136], [118.78012, 32.05213], [118.780118, 32.052113], [118.780468, 32.052085], [118.780519, 32.05209], [118.780501, 32.051912], [118.780495, 32.05189], [118.780477, 32.051736], [118.780488, 32.05165], [118.78044, 32.05164], [118.780414, 32.051625], [118.780333, 32.051641], [118.780254, 32.051644], [118.780259, 32.051754], [118.780202, 32.051759], [118.780222, 32.051939], [118.780216, 32.051978], [118.780061, 32.05199], [118.780067, 32.052038], [118.780011, 32.052043], [118.78002, 32.052126], [118.780039, 32.052125], [118.78004, 32.052136]]]"
2089,DIKUAI_2023_2202,2202,Polygon,EPSG:4326 (WGS84经纬度),3686.82,118.786481,118.787341,32.055158,32.055558,"[[[118.78652, 32.055558], [118.787251, 32.055476], [118.787341, 32.05538], [118.787302, 32.055158], [118.786481, 32.055256], [118.78652, 32.055558]]]"
2090,DIKUAI_2023_2203,2203,Polygon,EPSG:4326 (WGS84经纬度),13389.03,118.775072,118.777234,32.048741,32.049571,"[[[118.775308, 32.049571], [118.775492, 32.049556], [118.775952, 32.049497], [118.777234, 32.049329], [118.777181, 32.049103], [118.776253, 32.049295], [118.776139, 32.04931], [118.77606, 32.048741], [118.775955, 32.048751], [118.775837, 32.048769], [118.775767, 32.048784], [118.775764, 32.048773], [118.77576, 32.048752], [118.775576, 32.048784], [118.775544, 32.048796], [118.775437, 32.048809], [118.775441, 32.048835], [118.775334, 32.048847], [118.775318, 32.048855], [118.775124, 32.048875], [118.775125, 32.048885], [118.775072, 32.048891], [118.775074, 32.048917], [118.775099, 32.049133], [118.775105, 32.049141], [118.775154, 32.049308], [118.775206, 32.049357], [118.775216, 32.049434], [118.775229, 32.049434], [118.775235, 32.049482], [118.775248, 32.049481], [118.775253, 32.049524], [118.775277, 32.049522], [118.77528, 32.049544], [118.775306, 32.049541], [118.775308, 32.049571]]]"
2091,DIKUAI_2023_2204,2204,Polygon,EPSG:4326 (WGS84经纬度),3620.1,118.78526,118.785941,32.054541,32.05502,"[[[118.785709, 32.054976], [118.785941, 32.054949], [118.78588, 32.054541], [118.78526, 32.054615], [118.785369, 32.05502], [118.785709, 32.054976]]]"
2092,DIKUAI_2023_2205,2205,Polygon,EPSG:4326 (WGS84经纬度),8251.74,118.770566,118.771432,32.045284,32.046398,"[[[118.771021, 32.046398], [118.771432, 32.046361], [118.771413, 32.046126], [118.771371, 32.045865], [118.771303, 32.04561], [118.771227, 32.045284], [118.770566, 32.045393], [118.770598, 32.045632], [118.77081, 32.045623], [118.770849, 32.045977], [118.77086, 32.046081], [118.770986, 32.046074], [118.771021, 32.046398]]]"
2093,DIKUAI_2023_2206,2206,Polygon,EPSG:4326 (WGS84经纬度),5387.71,118.782932,118.783615,32.053204,32.054175,"[[[118.783323, 32.054175], [118.783615, 32.054124], [118.783542, 32.05363], [118.783507, 32.053204], [118.78326, 32.053233], [118.782932, 32.053266], [118.782946, 32.053354], [118.78302, 32.053346], [118.783031, 32.053406], [118.783037, 32.053444], [118.78304, 32.053461], [118.782989, 32.053469], [118.782974, 32.053478], [118.78297, 32.053485], [118.782967, 32.053496], [118.782982, 32.053592], [118.783005, 32.053637], [118.783195, 32.053636], [118.78326, 32.053631], [118.783269, 32.053766], [118.783286, 32.053915], [118.783291, 32.053964], [118.783301, 32.053979], [118.783312, 32.054101], [118.783316, 32.054117], [118.783323, 32.054175]]]"
2094,DIKUAI_2023_2207,2207,Polygon,EPSG:4326 (WGS84经纬度),11858.55,118.780976,118.781938,32.052218,32.053168,"[[[118.781855, 32.053168], [118.781872, 32.053138], [118.781903, 32.053118], [118.781895, 32.052637], [118.781938, 32.052558], [118.781932, 32.052276], [118.781903, 32.052239], [118.781857, 32.052218], [118.781337, 32.052257], [118.780984, 32.052283], [118.781032, 32.05284], [118.780976, 32.05284], [118.780977, 32.052911], [118.781072, 32.052931], [118.781066, 32.053152], [118.781855, 32.053168]]]"
2095,DIKUAI_2023_2208,2208,Polygon,EPSG:4326 (WGS84经纬度),16081.69,118.766504,118.768165,32.042415,32.043376,"[[[118.768073, 32.0433], [118.768165, 32.043301], [118.768135, 32.04283], [118.767911, 32.042415], [118.767549, 32.042495], [118.767174, 32.042567], [118.766733, 32.042654], [118.766731, 32.042654], [118.766748, 32.042775], [118.76676, 32.042854], [118.766594, 32.042865], [118.766614, 32.043079], [118.766914, 32.043059], [118.76692, 32.043122], [118.766927, 32.043202], [118.766932, 32.043249], [118.766504, 32.043275], [118.766514, 32.043376], [118.766923, 32.043351], [118.767507, 32.04331], [118.767584, 32.043303], [118.768073, 32.0433]]]"
2096,DIKUAI_2023_2209,2209,Polygon,EPSG:4326 (WGS84经纬度),3211.34,118.790974,118.791632,32.057211,32.057601,"[[[118.791011, 32.057601], [118.791632, 32.057536], [118.791621, 32.057434], [118.791598, 32.057224], [118.790974, 32.057211], [118.790991, 32.057406], [118.791011, 32.057601]]]"
2097,DIKUAI_2023_2210,2210,Polygon,EPSG:4326 (WGS84经纬度),2324.41,118.784644,118.785039,32.054071,32.054862,"[[[118.784669, 32.054862], [118.784929, 32.05482], [118.785039, 32.0548], [118.784917, 32.054328], [118.784852, 32.054071], [118.784685, 32.054102], [118.784679, 32.054102], [118.784705, 32.054187], [118.784708, 32.054227], [118.784782, 32.054509], [118.784824, 32.054645], [118.784816, 32.054666], [118.784823, 32.054691], [118.784673, 32.054717], [118.784679, 32.054756], [118.784644, 32.05476], [118.784669, 32.054862]]]"
2098,DIKUAI_2023_2211,2211,Polygon,EPSG:4326 (WGS84经纬度),2797.92,118.773794,118.774585,32.047965,32.048389,"[[[118.773815, 32.048389], [118.774585, 32.048304], [118.774486, 32.047965], [118.774392, 32.047981], [118.774379, 32.04801], [118.774384, 32.04801], [118.77436, 32.048058], [118.774362, 32.048069], [118.774356, 32.04807], [118.774357, 32.048076], [118.774237, 32.048095], [118.774127, 32.048105], [118.774129, 32.048121], [118.773923, 32.048141], [118.773794, 32.048174], [118.773807, 32.048205], [118.773815, 32.048263], [118.773809, 32.048265], [118.773816, 32.048353], [118.773802, 32.048357], [118.773815, 32.048389]]]"
2099,DIKUAI_2023_2212,2212,Polygon,EPSG:4326 (WGS84经纬度),1645.7,118.784517,118.784824,32.054102,32.05476,"[[[118.784644, 32.05476], [118.784679, 32.054756], [118.784673, 32.054717], [118.784823, 32.054691], [118.784816, 32.054666], [118.784824, 32.054645], [118.784782, 32.054509], [118.784708, 32.054227], [118.784705, 32.054187], [118.784679, 32.054102], [118.784649, 32.054104], [118.784517, 32.054119], [118.784527, 32.054184], [118.78462, 32.054664], [118.784644, 32.05476]]]"
2100,DIKUAI_2023_2213,2213,Polygon,EPSG:4326 (WGS84经纬度),781.51,118.76525,118.765531,32.041006,32.04134,"[[[118.765369, 32.04134], [118.765531, 32.041292], [118.765463, 32.041111], [118.765425, 32.041006], [118.76525, 32.041057], [118.765369, 32.04134]]]"
2101,DIKUAI_2023_2214,2214,Polygon,EPSG:4326 (WGS84经纬度),38259.8,118.768452,118.771227,32.044431,32.045686,"[[[118.769305, 32.045686], [118.770598, 32.045632], [118.770566, 32.045393], [118.771227, 32.045284], [118.771057, 32.044526], [118.770961, 32.04444], [118.770791, 32.044431], [118.770609, 32.044443], [118.768452, 32.044591], [118.768475, 32.044963], [118.768494, 32.04532], [118.769252, 32.04528], [118.769305, 32.045686]]]"
2102,DIKUAI_2023_2215,2215,Polygon,EPSG:4326 (WGS84经纬度),7678.67,118.779235,118.780421,32.051489,32.052202,"[[[118.779906, 32.052202], [118.780048, 32.052185], [118.780004, 32.052156], [118.780003, 32.052143], [118.78002, 32.052126], [118.780011, 32.052043], [118.780067, 32.052038], [118.780061, 32.05199], [118.780216, 32.051978], [118.780222, 32.051939], [118.780202, 32.051759], [118.780259, 32.051754], [118.780254, 32.051644], [118.780333, 32.051641], [118.780414, 32.051625], [118.780404, 32.051583], [118.780421, 32.05158], [118.780409, 32.051529], [118.780404, 32.051489], [118.780316, 32.051499], [118.779714, 32.051565], [118.779396, 32.051582], [118.779397, 32.051629], [118.779292, 32.051631], [118.779307, 32.051857], [118.779235, 32.051861], [118.779246, 32.052071], [118.779277, 32.05207], [118.779279, 32.052104], [118.779892, 32.052081], [118.779906, 32.052202]]]"
2103,DIKUAI_2023_2216,2216,Polygon,EPSG:4326 (WGS84经纬度),8485.24,118.767635,118.768772,32.043413,32.043977,"[[[118.767705, 32.043977], [118.768453, 32.043966], [118.768714, 32.043955], [118.768713, 32.043892], [118.768716, 32.043891], [118.768715, 32.04384], [118.768772, 32.043832], [118.768761, 32.043797], [118.768759, 32.043779], [118.768736, 32.043554], [118.768726, 32.043554], [118.768716, 32.043441], [118.768688, 32.043443], [118.768685, 32.043413], [118.768204, 32.04343], [118.768113, 32.043434], [118.767635, 32.04345], [118.767651, 32.0437], [118.767658, 32.043757], [118.767668, 32.043906], [118.767673, 32.043921], [118.767705, 32.043977]]]"
2104,DIKUAI_2023_2217,2217,Polygon,EPSG:4326 (WGS84经纬度),898.29,118.783574,118.783854,32.053862,32.054126,"[[[118.783615, 32.054126], [118.783854, 32.054108], [118.783831, 32.053862], [118.783586, 32.053881], [118.783574, 32.053882], [118.783574, 32.053885], [118.783615, 32.054126]]]"
2105,DIKUAI_2023_2218,2218,Polygon,EPSG:4326 (WGS84经纬度),6990.15,118.771641,118.772287,32.046175,32.0473,"[[[118.771694, 32.047046], [118.771708, 32.0473], [118.772258, 32.047287], [118.772251, 32.047245], [118.772287, 32.047241], [118.772265, 32.04708], [118.77225, 32.0468], [118.772231, 32.046447], [118.77222, 32.046175], [118.771836, 32.046178], [118.771839, 32.046222], [118.771713, 32.046229], [118.771681, 32.046237], [118.771641, 32.046239], [118.771641, 32.046307], [118.771719, 32.046294], [118.771845, 32.046284], [118.771853, 32.046358], [118.771865, 32.0465], [118.771863, 32.046501], [118.771898, 32.04703], [118.771795, 32.047036], [118.771694, 32.047046]]]"
2106,DIKUAI_2023_2219,2219,Polygon,EPSG:4326 (WGS84经纬度),1562.54,118.763858,118.764346,32.039879,32.040311,"[[[118.764346, 32.040105], [118.764043, 32.039879], [118.763941, 32.040021], [118.763858, 32.040138], [118.764132, 32.040311], [118.764346, 32.040105]]]"
2107,DIKUAI_2023_2220,2220,Polygon,EPSG:4326 (WGS84经纬度),3195.74,118.784089,118.784669,32.054119,32.054887,"[[[118.784507, 32.054887], [118.784661, 32.054863], [118.784669, 32.054862], [118.784644, 32.05476], [118.78462, 32.054664], [118.784527, 32.054184], [118.784517, 32.054119], [118.784481, 32.054124], [118.784303, 32.054143], [118.784089, 32.054166], [118.784108, 32.05426], [118.78412, 32.054354], [118.784113, 32.054375], [118.784129, 32.054454], [118.784152, 32.054511], [118.784416, 32.054483], [118.784507, 32.054887]]]"
2108,DIKUAI_2023_2221,2221,Polygon,EPSG:4326 (WGS84经纬度),3325.36,118.778254,118.778825,32.051001,32.051429,"[[[118.778825, 32.051429], [118.778822, 32.051001], [118.77826, 32.051017], [118.778254, 32.051366], [118.778383, 32.051394], [118.77853, 32.051419], [118.778825, 32.051429]]]"
2109,DIKUAI_2023_2222,2222,Polygon,EPSG:4326 (WGS84经纬度),3202.58,118.76326,118.764145,32.039597,32.040021,"[[[118.763941, 32.040021], [118.764043, 32.039879], [118.764145, 32.039735], [118.76413, 32.03973], [118.764103, 32.039722], [118.764083, 32.039715], [118.763621, 32.039626], [118.763482, 32.039601], [118.763463, 32.039598], [118.763443, 32.039597], [118.763424, 32.039599], [118.763405, 32.039603], [118.763387, 32.039609], [118.763371, 32.039618], [118.763356, 32.039629], [118.76326, 32.039815], [118.763941, 32.040021]]]"
2110,DIKUAI_2023_2223,2223,Polygon,EPSG:4326 (WGS84经纬度),2338.08,118.771641,118.771898,32.046284,32.047046,"[[[118.771694, 32.047046], [118.771795, 32.047036], [118.771898, 32.04703], [118.771863, 32.046501], [118.771865, 32.0465], [118.771853, 32.046358], [118.771845, 32.046284], [118.771719, 32.046294], [118.771641, 32.046307], [118.771654, 32.04673], [118.771694, 32.047046]]]"
2111,DIKUAI_2023_2261,2261,Polygon,EPSG:4326 (WGS84经纬度),1709.3,118.764623,118.765122,32.040692,32.04113,"[[[118.765022, 32.040777], [118.76506, 32.040757], [118.765009, 32.040692], [118.764784, 32.040814], [118.764623, 32.040946], [118.764773, 32.04113], [118.765122, 32.040979], [118.765022, 32.040777]]]"
2112,DIKUAI_2023_2225,2225,Polygon,EPSG:4326 (WGS84经纬度),2347.9,118.773729,118.77466,32.048302,32.048573,"[[[118.773774, 32.048573], [118.773897, 32.048559], [118.774337, 32.048513], [118.77466, 32.048476], [118.774626, 32.048314], [118.774602, 32.048318], [118.774598, 32.048302], [118.774585, 32.048304], [118.773819, 32.048389], [118.773815, 32.048389], [118.773729, 32.048393], [118.773743, 32.048476], [118.773774, 32.048573]]]"
2113,DIKUAI_2023_2226,2226,Polygon,EPSG:4326 (WGS84经纬度),1568.57,118.765337,118.765735,32.041292,32.041873,"[[[118.76556, 32.041873], [118.765735, 32.041822], [118.76572, 32.041776], [118.765657, 32.041593], [118.76561, 32.0415], [118.765531, 32.041292], [118.765369, 32.04134], [118.765337, 32.041349], [118.765383, 32.041486], [118.765353, 32.04149], [118.76537, 32.04161], [118.765553, 32.04159], [118.765569, 32.041645], [118.765513, 32.041658], [118.765545, 32.041754], [118.76552, 32.041761], [118.765533, 32.041798], [118.76556, 32.041873]]]"
2114,DIKUAI_2023_2227,2227,Polygon,EPSG:4326 (WGS84经纬度),3580.33,118.780599,118.781032,32.052283,32.052956,"[[[118.780638, 32.052956], [118.78079, 32.052955], [118.780789, 32.052913], [118.780977, 32.052911], [118.780976, 32.05284], [118.781032, 32.05284], [118.780984, 32.052283], [118.780635, 32.052312], [118.780599, 32.052331], [118.780638, 32.052956]]]"
2115,DIKUAI_2023_2228,2228,Polygon,EPSG:4326 (WGS84经纬度),15942.36,118.78221,118.783463,32.053012,32.054252,"[[[118.78221, 32.054252], [118.782952, 32.054211], [118.78326, 32.05418], [118.783323, 32.054175], [118.783316, 32.054117], [118.783312, 32.054101], [118.783301, 32.053979], [118.783291, 32.053964], [118.783286, 32.053915], [118.783269, 32.053766], [118.78326, 32.053631], [118.783195, 32.053636], [118.783005, 32.053637], [118.782982, 32.053592], [118.782967, 32.053496], [118.78297, 32.053485], [118.782974, 32.053478], [118.782989, 32.053469], [118.78304, 32.053461], [118.783037, 32.053444], [118.783031, 32.053406], [118.78302, 32.053346], [118.782946, 32.053354], [118.782932, 32.053266], [118.78326, 32.053233], [118.783463, 32.053214], [118.78346, 32.053188], [118.78345, 32.053132], [118.783443, 32.05308], [118.783441, 32.053044], [118.78345, 32.053012], [118.783385, 32.053017], [118.783259, 32.053034], [118.783061, 32.053059], [118.782991, 32.053104], [118.78252, 32.053169], [118.782444, 32.053173], [118.782418, 32.053174], [118.782219, 32.053178], [118.782219, 32.053178], [118.782211, 32.054172], [118.78221, 32.054252]]]"
2116,DIKUAI_2023_2229,2229,Polygon,EPSG:4326 (WGS84经纬度),803.25,118.779082,118.779397,32.051582,32.051861,"[[[118.779235, 32.051861], [118.779307, 32.051857], [118.779292, 32.051631], [118.779397, 32.051629], [118.779396, 32.051582], [118.779169, 32.051591], [118.779169, 32.0516], [118.779082, 32.051606], [118.779092, 32.051822], [118.779233, 32.051817], [118.779235, 32.051861]]]"
2117,DIKUAI_2023_2230,2230,Polygon,EPSG:4326 (WGS84经纬度),2703.49,118.774496,118.775009,32.04868,32.049123,"[[[118.774551, 32.049123], [118.774985, 32.049073], [118.775009, 32.049044], [118.774961, 32.048718], [118.774939, 32.048703], [118.774914, 32.048692], [118.774887, 32.048684], [118.77486, 32.04868], [118.774496, 32.048723], [118.774513, 32.048826], [118.774524, 32.048888], [118.774516, 32.048889], [118.774551, 32.049121], [118.774551, 32.049123]]]"
2118,DIKUAI_2023_2231,2231,Polygon,EPSG:4326 (WGS84经纬度),2459.14,118.794891,118.795491,32.059007,32.059361,"[[[118.795116, 32.059361], [118.795412, 32.059337], [118.795491, 32.05933], [118.79544, 32.059007], [118.794891, 32.059059], [118.794898, 32.059082], [118.79494, 32.059253], [118.794945, 32.059272], [118.794976, 32.059302], [118.795012, 32.059326], [118.795053, 32.059346], [118.795096, 32.05936], [118.795116, 32.059361]]]"
2119,DIKUAI_2023_2232,2232,Polygon,EPSG:4326 (WGS84经纬度),25472.15,118.772123,118.773818,32.046921,32.048402,"[[[118.773738, 32.048353], [118.77371, 32.048214], [118.773709, 32.048197], [118.773671, 32.048118], [118.773664, 32.048059], [118.77365, 32.047947], [118.773636, 32.047798], [118.773668, 32.047637], [118.773709, 32.047483], [118.773758, 32.047288], [118.77376, 32.047282], [118.773773, 32.047283], [118.773791, 32.047212], [118.773818, 32.047099], [118.773809, 32.047041], [118.773807, 32.047041], [118.773801, 32.046976], [118.773793, 32.046933], [118.773794, 32.046921], [118.7737, 32.046935], [118.77341, 32.046964], [118.773406, 32.04713], [118.773104, 32.047169], [118.772953, 32.047179], [118.772919, 32.047165], [118.772701, 32.047189], [118.772507, 32.047212], [118.772507, 32.047209], [118.772502, 32.04721], [118.772499, 32.047156], [118.772392, 32.047169], [118.772352, 32.047185], [118.772321, 32.04723], [118.772287, 32.047241], [118.772282, 32.047241], [118.772251, 32.047245], [118.772258, 32.047287], [118.77227, 32.047378], [118.772257, 32.047379], [118.77225, 32.047406], [118.772258, 32.047452], [118.772271, 32.047487], [118.772313, 32.04749], [118.772376, 32.047485], [118.772395, 32.047625], [118.772438, 32.047625], [118.772439, 32.047762], [118.772249, 32.047774], [118.772239, 32.04779], [118.772227, 32.04781], [118.772216, 32.047832], [118.772197, 32.047833], [118.772189, 32.047868], [118.772194, 32.047966], [118.772158, 32.047967], [118.772162, 32.048026], [118.772195, 32.04803], [118.7722, 32.048116], [118.7722, 32.048147], [118.772198, 32.048156], [118.772131, 32.048299], [118.772123, 32.048316], [118.772199, 32.048319], [118.772321, 32.048333], [118.77244, 32.048351], [118.772465, 32.048344], [118.772492, 32.048232], [118.772679, 32.048266], [118.772856, 32.048278], [118.772929, 32.048303], [118.773, 32.048306], [118.773018, 32.048332], [118.77313, 32.048348], [118.773175, 32.04837], [118.773202, 32.048402], [118.773704, 32.048343], [118.77372, 32.048341], [118.773738, 32.048353]]]"
2120,DIKUAI_2023_2233,2233,Polygon,EPSG:4326 (WGS84经纬度),3116.04,118.785774,118.78652,32.055256,32.055636,"[[[118.785825, 32.055636], [118.78652, 32.055558], [118.786481, 32.055256], [118.785774, 32.05534], [118.785825, 32.055636]]]"
2121,DIKUAI_2023_2234,2234,Polygon,EPSG:4326 (WGS84经纬度),15780.41,118.793337,118.794776,32.05827,32.059315,"[[[118.793522, 32.059315], [118.794152, 32.059206], [118.794776, 32.059166], [118.794766, 32.059123], [118.794738, 32.059018], [118.794675, 32.058723], [118.794624, 32.058531], [118.794581, 32.058408], [118.794547, 32.05834], [118.794518, 32.058301], [118.794501, 32.058282], [118.794491, 32.058277], [118.79448, 32.058273], [118.794469, 32.058271], [118.794458, 32.05827], [118.794446, 32.058271], [118.794436, 32.058272], [118.794348, 32.058291], [118.794221, 32.058319], [118.794075, 32.05835], [118.793917, 32.058386], [118.793752, 32.058422], [118.793564, 32.058464], [118.793361, 32.058509], [118.793337, 32.058515], [118.793522, 32.059315]]]"
2122,DIKUAI_2023_2235,2235,Polygon,EPSG:4326 (WGS84经纬度),2168.12,118.783669,118.784152,32.054166,32.054557,"[[[118.783714, 32.054557], [118.784152, 32.054511], [118.784129, 32.054454], [118.784113, 32.054375], [118.78412, 32.054354], [118.784108, 32.05426], [118.784089, 32.054166], [118.783938, 32.054181], [118.783702, 32.054211], [118.783669, 32.054226], [118.783696, 32.0544], [118.783714, 32.054557]]]"
2123,DIKUAI_2023_2236,2236,Polygon,EPSG:4326 (WGS84经纬度),6511.25,118.801391,118.802486,32.061032,32.061738,"[[[118.801656, 32.061738], [118.802486, 32.061352], [118.802263, 32.061032], [118.801977, 32.061032], [118.801391, 32.061259], [118.801546, 32.061524], [118.801579, 32.061588], [118.801656, 32.061738]]]"
2124,DIKUAI_2023_2237,2237,Polygon,EPSG:4326 (WGS84经纬度),14963.57,118.80759,118.809097,32.06092,32.064851,"[[[118.807884, 32.06092], [118.807664, 32.060968], [118.807689, 32.06105], [118.807686, 32.061057], [118.80759, 32.061077], [118.807681, 32.061229], [118.807736, 32.061327], [118.807791, 32.061438], [118.807867, 32.061624], [118.807974, 32.06191], [118.808189, 32.062485], [118.808405, 32.063055], [118.808526, 32.063392], [118.808604, 32.063595], [118.80865, 32.063719], [118.808678, 32.063814], [118.808697, 32.063895], [118.808705, 32.063947], [118.808709, 32.063999], [118.808711, 32.064105], [118.808708, 32.064194], [118.808701, 32.064266], [118.808693, 32.064338], [118.808676, 32.064426], [118.808644, 32.064538], [118.808623, 32.0646], [118.808556, 32.064759], [118.808535, 32.064805], [118.808533, 32.064818], [118.808533, 32.064829], [118.808538, 32.06484], [118.808549, 32.064848], [118.808558, 32.064851], [118.808579, 32.064848], [118.808618, 32.064828], [118.808737, 32.064716], [118.808907, 32.064563], [118.809052, 32.064436], [118.809067, 32.064422], [118.809079, 32.064407], [118.809089, 32.06439], [118.809095, 32.064372], [118.809097, 32.064353], [118.809096, 32.064334], [118.809091, 32.064316], [118.807884, 32.06092]]]"
2125,DIKUAI_2023_2238,2238,Polygon,EPSG:4326 (WGS84经纬度),7789.21,118.791011,118.791988,32.057411,32.058267,"[[[118.791028, 32.058267], [118.791758, 32.058085], [118.791724, 32.05789], [118.791926, 32.057851], [118.791903, 32.057677], [118.791988, 32.057482], [118.791866, 32.057496], [118.791853, 32.057411], [118.791621, 32.057434], [118.791632, 32.057536], [118.791011, 32.057601], [118.791017, 32.057664], [118.791029, 32.057898], [118.79103, 32.058099], [118.79103, 32.058215], [118.791028, 32.058267]]]"
2126,DIKUAI_2023_2239,2239,Polygon,EPSG:4326 (WGS84经纬度),7287.84,118.796041,118.797001,32.05941,32.060148,"[[[118.796294, 32.060148], [118.797001, 32.059969], [118.796853, 32.059464], [118.796741, 32.059442], [118.796628, 32.059426], [118.796513, 32.059415], [118.796398, 32.05941], [118.796283, 32.059411], [118.796168, 32.059417], [118.796041, 32.059449], [118.796196, 32.059873], [118.796197, 32.059873], [118.796294, 32.060148]]]"
2127,DIKUAI_2023_2240,2240,Polygon,EPSG:4326 (WGS84经纬度),2910.36,118.785369,118.785825,32.054976,32.05565,"[[[118.785695, 32.05565], [118.785825, 32.055636], [118.785774, 32.05534], [118.785709, 32.054976], [118.785369, 32.05502], [118.785512, 32.055546], [118.785695, 32.05565]]]"
2128,DIKUAI_2023_2241,2241,Polygon,EPSG:4326 (WGS84经纬度),77943.2,118.774587,118.778822,32.049331,32.051366,"[[[118.778254, 32.051366], [118.77826, 32.051017], [118.778822, 32.051001], [118.778822, 32.050493], [118.778499, 32.050503], [118.77828, 32.050508], [118.77825, 32.050136], [118.7782, 32.049835], [118.778187, 32.049784], [118.777939, 32.049806], [118.777938, 32.049808], [118.777691, 32.049832], [118.777688, 32.04981], [118.777683, 32.049765], [118.77768, 32.04972], [118.777679, 32.049673], [118.777647, 32.049675], [118.77765, 32.049694], [118.777605, 32.049698], [118.777572, 32.0497], [118.777574, 32.049716], [118.777485, 32.049725], [118.777443, 32.049472], [118.777435, 32.04944], [118.777427, 32.049404], [118.777416, 32.049331], [118.777286, 32.049355], [118.777234, 32.049364], [118.777182, 32.049372], [118.776713, 32.049433], [118.775828, 32.049561], [118.775409, 32.049602], [118.775252, 32.049619], [118.775263, 32.049679], [118.77531, 32.049992], [118.775316, 32.050036], [118.775349, 32.050258], [118.775358, 32.050315], [118.775359, 32.050354], [118.77536, 32.050451], [118.775122, 32.050406], [118.775123, 32.050362], [118.774673, 32.050339], [118.77466, 32.050382], [118.774643, 32.050463], [118.774613, 32.050576], [118.774587, 32.050713], [118.774817, 32.05074], [118.774817, 32.050742], [118.775193, 32.050794], [118.775219, 32.050849], [118.775238, 32.050865], [118.77527, 32.050906], [118.775814, 32.050972], [118.775784, 32.051141], [118.775905, 32.051157], [118.776565, 32.051192], [118.777157, 32.051218], [118.777364, 32.051236], [118.777596, 32.051262], [118.778007, 32.051336], [118.778254, 32.051366]]]"
2129,DIKUAI_2023_2242,2242,Polygon,EPSG:4326 (WGS84经纬度),634.34,118.774841,118.775102,32.04913,32.049359,"[[[118.774902, 32.049359], [118.775016, 32.049348], [118.775102, 32.04935], [118.775075, 32.049257], [118.775041, 32.049171], [118.775027, 32.049136], [118.77501, 32.049132], [118.774993, 32.04913], [118.774975, 32.049131], [118.77492, 32.049139], [118.774918, 32.049135], [118.774841, 32.049146], [118.774848, 32.049175], [118.774845, 32.049175], [118.774849, 32.049196], [118.774902, 32.049359]]]"
2130,DIKUAI_2023_2243,2243,Polygon,EPSG:4326 (WGS84经纬度),838.73,118.773985,118.774513,32.048708,32.048878,"[[[118.774513, 32.048826], [118.774496, 32.048723], [118.774494, 32.048708], [118.773985, 32.048776], [118.774002, 32.048878], [118.774513, 32.048826]]]"
2131,DIKUAI_2023_2244,2244,Polygon,EPSG:4326 (WGS84经纬度),3577.49,118.763641,118.764913,32.040147,32.0414,"[[[118.764387, 32.040718], [118.764913, 32.040231], [118.764848, 32.040173], [118.76481, 32.040152], [118.764778, 32.040147], [118.764752, 32.040166], [118.764699, 32.040221], [118.764354, 32.04057], [118.764035, 32.040893], [118.763677, 32.041253], [118.763641, 32.04129], [118.763792, 32.0414], [118.764387, 32.040718]]]"
2132,DIKUAI_2023_2245,2245,Polygon,EPSG:4326 (WGS84经纬度),2428.37,118.779064,118.779906,32.051817,32.052263,"[[[118.779213, 32.052263], [118.779906, 32.052202], [118.779892, 32.052081], [118.779279, 32.052104], [118.779277, 32.05207], [118.779246, 32.052071], [118.779235, 32.051861], [118.779233, 32.051817], [118.779064, 32.051823], [118.779066, 32.052142], [118.779069, 32.052163], [118.779076, 32.052184], [118.779087, 32.052203], [118.779102, 32.05222], [118.77912, 32.052235], [118.779141, 32.052247], [118.779164, 32.052256], [118.779188, 32.052261], [118.779213, 32.052263]]]"
2133,DIKUAI_2023_2246,2246,Polygon,EPSG:4326 (WGS84经纬度),4978.55,118.767589,118.768522,32.043921,32.044376,"[[[118.767712, 32.044376], [118.768522, 32.044323], [118.768482, 32.044096], [118.768453, 32.043966], [118.767705, 32.043977], [118.767673, 32.043921], [118.767593, 32.043966], [118.767589, 32.043978], [118.767606, 32.044211], [118.767622, 32.044358], [118.767712, 32.044376]]]"
